Type,Tester,Delay,Lossrate,20,1'40,3',4'20,5'40,7',8'20,9'40,11',12'20,13¡¯40,15',16'20,17'40,19',20'20,21'40,23'
Verification,9,150,0.4,6,6,6,5,6,5,5,5,5,4,4,,,,,,,
Verification,10,150,0.4,6,6,5,5,4,5,5,4,4,5,5,5,,,,,,
Model,1,150,0.6,4,3,3,3,4,3,3,2,3,2,2,3,3,,,,,
Model,2,150,0.6,5,5,5,5,4,5,5,5,4,4,5,5,5,5,,,,
Model,3,150,0.6,5,4,5,5,4,5,5,4,5,4,,,,,,,,
Model,4,150,0.6,4,5,4,4,5,4,4,3,3,3,3,,,,,,,
Model,5,150,0.6,5,5,4,4,4,5,5,4,5,3,,,,,,,,
Verification,6,150,0.6,5,5,5,4,5,5,4,4,4,5,4,4,,,,,,
Verification,7,150,0.6,4,4,4,5,4,4,4,4,3,4,,,,,,,,
Verification,8,150,0.6,5,5,4,4,4,5,4,3,3,4,3,,,,,,,
Verification,9,150,0.6,5,5,5,4,4,5,5,3,4,4,4,,,,,,,
Verification,10,150,0.6,5,4,4,5,5,5,4,3,3,4,,,,,,,,
Model,1,150,0.8,3,3,2,1,2,2,1,2,2,2,1,,,,,,,
Model,2,150,0.8,4,4,3,3,3,3,2,2,2,2,1,1,1,1,,,,
Model,3,150,0.8,4,4,5,5,5,4,4,6,6,6,5,,,,,,,
Model,4,150,0.8,3,4,3,3,3,2,1,2,1,1,2,,,,,,,
Model,5,150,0.8,4,4,3,2,3,2,1,1,2,1,,,,,,,,
Verification,6,150,0.8,4,3,3,2,3,2,2,1,3,2,,,,,,,,
Verification,7,150,0.8,4,4,3,3,3,2,3,1,1,2,,,,,,,,
Verification,8,150,0.8,3,2,2,2,3,2,2,1,1,1,1,,,,,,,
Verification,9,150,0.8,4,3,3,1,2,2,2,1,1,1,,,,,,,,
Verification,10,150,0.8,4,4,3,4,2,2,3,2,1,1,,,,,,,,
Model,1,250,0,6,5,5,5,4,5,4,4,5,5,5,,,,,,,
Model,2,250,0,6,5,6,5,4,4,6,5,5,,,,,,,,,
Model,3,250,0,6,6,6,5,6,6,5,6,6,5,5,,,,,,,
Model,4,250,0,7,6,6,5,6,5,5,5,6,6,,,,,,,,
Model,5,250,0,7,6,5,6,6,6,5,5,5,6,5,5,,,,,,
Verification,6,250,0,6,5,6,5,5,5,6,6,5,4,4,,,,,,,
Verification,7,250,0,7,6,5,5,6,5,4,4,5,4,4,4,,,,,,
Verification,8,250,0,7,6,5,5,6,6,5,5,5,6,,,,,,,,
Verification,9,250,0,6,4,5,5,5,4,5,4,4,4,,,,,,,,
Verification,10,250,0,6,5,5,5,4,4,5,5,5,4,4,5,,,,,,
Model,1,250,0.2,6,5,5,5,4,5,4,4,4,4,,,,,,,,
Model,2,250,0.2,5,5,4,6,6,5,5,5,6,4,5,5,5,4,4,,,
Model,3,250,0.2,5,4,5,5,4,5,4,5,5,4,,,,,,,,
Model,4,250,0.2,6,6,5,5,5,6,6,5,6,5,5,,,,,,,
Model,5,250,0.2,6,5,5,6,5,4,4,5,5,5,,,,,,,,
Verification,6,250,0.2,5,5,4,4,4,5,5,4,4,4,4,4,,,,,,
Verification,7,250,0.2,5,5,4,4,4,5,5,4,5,4,,,,,,,,
Verification,8,250,0.2,6,6,5,5,4,5,4,4,5,5,4,4,4,,,,,
Verification,9,250,0.2,6,5,6,6,5,5,5,6,4,5,,,,,,,,
Verification,10,250,0.2,6,6,6,5,5,4,5,5,4,4,5,4,,,,,,
Model,1,250,0.4,5,4,3,4,4,4,4,3,3,4,3,4,4,4,4,3,4,4
Model,2,250,0.4,5,5,4,4,5,4,5,4,4,4,,,,,,,,
Model,3,250,0.4,5,4,5,5,5,4,4,6,6,6,5,,,,,,,
Model,4,250,0.4,5,4,4,4,5,4,5,5,4,4,5,4,,,,,,
Model,5,250,0.4,5,5,6,5,5,4,5,4,5,5,4,,,,,,,
Verification,6,250,0.4,5,4,5,4,4,5,4,5,4,4,5,4,,,,,,
